"pointID" "x" "y" "transectID" "enviVals" "T90.9x10s" "T60.6x10s" "T30.3x10s" "T30.6x5s"
"33" 3 306 222 4 4.948626 TRUE TRUE NA TRUE
"34" 4 304 210 4 4.190321 TRUE TRUE NA NA
"35" 5 295 205 4 4.378391 TRUE TRUE NA NA
"36" 6 283 201 4 -0.2476788 TRUE TRUE NA TRUE
"37" 7 269 198 4 -3.658606 TRUE TRUE NA TRUE
"38" 8 258 198 4 -3.276718 TRUE TRUE NA NA
"39" 9 244 199 4 -3.809767 TRUE TRUE NA NA
"40" 10 254 206 4 -4.15453 TRUE TRUE NA TRUE
"41" 1 137 183 5 5.083182 TRUE TRUE TRUE TRUE
"42" 2 141 195 5 6.184599 TRUE TRUE TRUE TRUE
"43" 3 160 192 5 6.066531 TRUE TRUE TRUE NA
"44" 4 154 176 5 0.7453332 TRUE TRUE TRUE NA
"45" 5 156 163 5 -1.823982 TRUE TRUE TRUE TRUE
"46" 6 169 154 5 -3.561401 TRUE TRUE TRUE TRUE
"47" 7 170 141 5 -5.959451 TRUE TRUE TRUE TRUE
"48" 8 157 135 5 -2.990785 TRUE TRUE TRUE NA
"49" 9 145 137 5 -4.561878 TRUE TRUE TRUE NA
"50" 10 140 126 5 -2.220428 TRUE TRUE TRUE NA
"51" 1 14 192 6 3.516555 TRUE NA NA NA
"52" 2 22 201 6 3.632121 TRUE NA NA NA
"53" 3 33 206 6 5.70633 TRUE NA NA NA
"54" 4 45 204 6 3.152747 TRUE NA NA NA
"55" 5 51 196 6 -0.4802934 TRUE NA NA NA
"56" 6 54 181 6 -2.442364 TRUE NA NA NA
"57" 7 58 164 6 -4.248086 TRUE NA NA NA
"58" 8 73 176 6 -2.128353 TRUE NA NA NA
"59" 9 84 187 6 -4.318624 TRUE NA NA NA
"60" 10 98 192 6 -4.757476 TRUE NA NA NA
"61" 1 129 37 7 2.055772 TRUE TRUE NA TRUE
"62" 2 120 45 7 0.7751106 TRUE TRUE NA NA
"63" 3 108 49 7 -0.2328429 TRUE TRUE NA TRUE
"64" 4 91 60 7 -1.845262 TRUE TRUE NA NA
"65" 5 75 70 7 -0.7024257 TRUE TRUE NA TRUE
"66" 6 57 75 7 -0.8899073 TRUE TRUE NA NA
"67" 7 34 88 7 -6.135075 TRUE TRUE NA NA
"68" 8 46 98 7 -5.481914 TRUE TRUE NA NA
"69" 9 59 99 7 -5.842094 TRUE TRUE NA TRUE
"70" 10 70 109 7 -6.276155 TRUE TRUE NA TRUE
"71" 1 187 133 8 -0.06355969 TRUE NA NA NA
"72" 2 183 123 8 0.01204835 TRUE NA NA NA
"73" 3 177 115 8 3.895066 TRUE NA NA NA
"74" 4 177 101 8 2.724471 TRUE NA NA NA
"75" 5 188 88 8 -1.580313 TRUE NA NA NA
"76" 6 208 87 8 -3.804333 TRUE NA NA NA
"77" 7 222 89 8 -6.265256 TRUE NA NA NA
"78" 8 230 98 8 -7.033097 TRUE NA NA NA
"79" 9 241 102 8 -7.485172 TRUE NA NA NA
"80" 10 246 109 8 -9.191867 TRUE NA NA NA
"81" 1 345 61 9 1.472193 TRUE TRUE TRUE TRUE
"82" 2 338 68 9 1.332755 TRUE TRUE TRUE NA
"83" 3 322 68 9 2.211657 TRUE TRUE TRUE TRUE
"84" 4 312 65 9 -0.8824773 TRUE TRUE TRUE NA
"85" 5 306 57 9 -2.435512 TRUE TRUE TRUE NA
"86" 6 299 47 9 -1.103135 TRUE TRUE TRUE NA
"87" 7 293 40 9 -5.790052 TRUE TRUE TRUE TRUE
"88" 8 296 33 9 -5.805727 TRUE TRUE TRUE NA
"89" 9 289 21 9 -4.784361 TRUE TRUE TRUE TRUE
"90" 10 284 14 9 -7.946043 TRUE TRUE TRUE TRUE
